"attr","w","m.statistic.S","m.var.S","m.z.S","m.p.value.S","m.statistic.S_InvDist","m.var.S_InvDist","m.z.S_InvDist","m.p.value.S_InvDist","m.statistic.B","m.var.B","m.z.B","m.p.value.B","m.statistic.B_InvDist","m.var.B_InvDist","m.z.B_InvDist","m.p.value.B_InvDist","m.statistic.W","m.var.W","m.z.W","m.p.value.W","m.statistic.W_InvDist","m.var.W_InvDist","m.z.W_InvDist","m.p.value.W_InvDist","m.statistic.C","m.var.C","m.z.C","m.p.value.C","m.statistic.C_InvDist","m.var.C_InvDist","m.z.C_InvDist","m.p.value.C_InvDist"
"AQI",11,0.0687403513787047,0.172275151235628,0.178107264862164,0.429319368360634,0.068766160866548,0.172431552367454,0.178093314371077,0.429324846230535,0.352599312214198,4.53275312433377,0.178107264862164,0.429319368360634,0.0445631862534056,0.0724135186332531,0.178093314371077,0.429324846230535,0.0705198624428397,0.181310124973351,0.178107264862164,0.429319368360634,0.0705198624428397,0.181338531029547,0.178093314371077,0.429324846230535,0.0661123710401622,0.159354602027359,0.178107264862164,0.429319368360634,0.0658181579851521,0.157964183824953,0.178093314371077,0.429324846230535
"AQI",12,0.0532460472204339,0.174001654020942,0.137275138698829,0.445406660412811,0.0532636018747668,0.174159589044297,0.137258118856704,0.445413386679415,0.211559587328519,2.74690761347442,0.137275138698829,0.445406660412811,0.0275344271738027,0.0465412903295655,0.137258118856704,0.445413386679415,0.0705198624428397,0.305211957052713,0.137275138698829,0.445406660412811,0.0705198624428397,0.305287653578832,0.137258118856704,0.445413386679415,0.0396674226240973,0.09657097078621,0.137275138698829,0.445406660412811,0.0406673182534724,0.101526028286298,0.137258118856704,0.445413386679415
"AQI",13,0.061483239392002,0.173138402628285,0.158906347198787,0.436871329949557,0.0614671327294777,0.173299854481186,0.158790699719706,0.436916888195147,0.282079449771359,3.64437299204979,0.158906347198787,0.436871329949557,0.0367053751361922,0.0617976018731237,0.158790699719706,0.436916888195147,0.0705198624428397,0.227773312003112,0.158906347198787,0.436871329949557,0.0705198624428397,0.2281052080351,0.158790699719706,0.436916888195147,0.0528898968321298,0.12812248800175,0.158906347198787,0.436871329949557,0.0542124651024823,0.134806427397448,0.158790699719706,0.436916888195147
"AQI",14,0.0753012821218958,0.17141189984297,0.195597406986403,0.422462645001901,0.075254347015785,0.171577997514225,0.195380852757539,0.422547402520791,0.423119174657038,5.41204801032637,0.195597406986403,0.422462645001901,0.0547807185288764,0.0909188345734502,0.195380852757539,0.422547402520791,0.0705198624428397,0.15033466695351,0.195597406986403,0.422462645001902,0.0705198624428397,0.150668104434609,0.195380852757539,0.422547402520791,0.0793348452481946,0.190267312863037,0.195597406986403,0.422462645001902,0.0809090706883239,0.198332020992498,0.195380852757539,0.422547402520791
"AQI",15,0.0753012821218958,0.17141189984297,0.195597406986403,0.422462645001901,0.0753353072961903,0.171566860957425,0.19559739566388,0.422462649433349,0.423119174657038,5.41204801032637,0.195597406986403,0.422462645001901,0.0530766763185934,0.0851615810865371,0.19559739566388,0.422462649433349,0.0705198624428397,0.15033466695351,0.195597406986403,0.422462645001902,0.0705198624428397,0.15033468435832,0.19559739566388,0.422462649433349,0.0793348452481946,0.190267312863037,0.195597406986403,0.422462645001902,0.0783922641302829,0.185773042154036,0.19559739566388,0.422462649433349
"AQI",16,0.0753012821218958,0.17141189984297,0.195597406986403,0.422462645001901,0.0753353073088744,0.171566860955679,0.195597395697808,0.42246264942007,0.423119174657038,5.41204801032637,0.195597406986403,0.422462645001901,0.0530264176724189,0.0850003773179165,0.195597395697808,0.42246264942007,0.0705198624428397,0.15033466695351,0.195597406986403,0.422462645001902,0.0705198624428397,0.150334684306167,0.195597395697808,0.42246264942007,0.0793348452481946,0.190267312863037,0.195597406986403,0.422462645001902,0.0783180339911895,0.185421389282856,0.195597395697807,0.42246264942007
"AQI",17,0.0753012821218958,0.17141189984297,0.195597406986403,0.422462645001901,0.075335307323569,0.171566860953657,0.195597395737113,0.422462649404686,0.423119174657038,5.41204801032637,0.195597406986403,0.422462645001901,0.0529762905359422,0.0848397474780972,0.195597395737113,0.422462649404686,0.0705198624428397,0.15033466695351,0.195597406986403,0.422462645001902,0.0705198624428397,0.150334684245748,0.195597395737113,0.422462649404686,0.0793348452481946,0.190267312863037,0.195597406986403,0.422462645001902,0.078243998086997,0.185070988390538,0.195597395737113,0.422462649404686
"AQI",18,-0.121115040987324,0.17141189984297,-0.278816151697223,0.609807040728464,-0.119029907659118,0.171569688477936,-0.27365145360168,0.607823755785263,-0.680547458649565,5.41204801032637,-0.278816151697223,0.609807040728464,-0.084533653684846,0.0865341734882717,-0.27365145360168,0.607823755785263,-0.113424576441594,0.15033466695351,-0.278816151697223,0.609807040728464,-0.111451894740511,0.15041920242681,-0.27365145360168,0.607823755785263,-0.127602648496793,0.190267312863037,-0.278816151697223,0.609807040728464,-0.124853042187174,0.188767240510319,-0.27365145360168,0.607823755785263
"AQI",19,-0.146422950279582,0.172275151235628,-0.340283051160013,0.633178310186758,-0.143558230297534,0.172432156887161,-0.333225489944208,0.630517960800526,-0.751067321092404,4.53275312433377,-0.340283051160013,0.633178310186758,-0.0932773797828336,0.0727972116263202,-0.333225489944207,0.630517960800526,-0.150213464218481,0.181310124973351,-0.340283051160013,0.633178310186758,-0.147229611383541,0.181364548990275,-0.333225489944207,0.630517960800526,-0.140825122704826,0.159354602027359,-0.340283051160012,0.633178310186758,-0.137767198334441,0.158801178789887,-0.333225489944207,0.630517960800526
"AQI",20,0.0532460472204339,0.174001654020942,0.137275138698829,0.445406660412811,0.0532572936899579,0.174160202838827,0.13724162108137,0.445419906639455,0.211559587328519,2.74690761347442,0.137275138698829,0.445406660412811,0.0278932364646132,0.0477736640993976,0.13724162108137,0.445419906639455,0.0705198624428397,0.305211957052713,0.137275138698829,0.445406660412811,0.0705198624428397,0.305361055070355,0.13724162108137,0.445419906639455,0.0396674226240973,0.09657097078621,0.137275138698829,0.445406660412811,0.0411972661448735,0.104214351135305,0.13724162108137,0.445419906639455
